ee;fd
1990-01-01;1350
1990-02-01;2400
1990-03-01;1950
1990-04-01;2250
1990-05-01;3000
1990-06-01;2400
1990-07-01;3000
1990-08-01;2850
1990-09-01;2550
1990-10-01;3600
1990-11-01;2850
1990-12-01;2250
1991-01-01;2100
1991-02-01;2100
1991-03-01;3750
1991-04-01;2250
1991-05-01;2400
1991-06-01;2400
1991-07-01;5550
1991-08-01;5250
1991-09-01;450
1991-10-01;3750
1991-11-01;1050
1991-12-01;2850
1992-01-01;2250
1992-02-01;1500
1992-03-01;3900
1992-04-01;3150
1992-05-01;2700
1992-06-01;3900
1992-07-01;2400
1992-08-01;2850
1992-09-01;2550
1992-10-01;1950
1992-11-01;4050
1992-12-01;3750
1993-01-01;4350
1993-02-01;3450
1993-03-01;1350
1993-04-01;3300
1993-05-01;3000
1993-06-01;2100
1993-07-01;4050
1993-08-01;1200
1993-09-01;1500
1993-10-01;2550
1993-11-01;4950
1993-12-01;6750
1994-01-01;3750
1994-02-01;7050
1994-03-01;2100
1994-04-01;3300
1994-05-01;5550
1994-06-01;4800
1994-07-01;3600
1994-08-01;5100
1994-09-01;3000
1994-10-01;2850
1994-11-01;5250
1994-12-01;1800
1995-01-01;3600
1995-02-01;3300
1995-03-01;5850
1995-04-01;5100
1995-05-01;3450
1995-06-01;3600
1995-07-01;6000
1995-08-01;2700
