ee;pp
198301;4590
198302;4930
198303;5300
198304;5465
198305;5395
198306;5000
198307;5085
198308;4935
198309;5065
198310;5165
198311;5300
198312;4970
198401;5250
198402;5515
198403;5675
198404;5805
198405;5820
198406;5680
198407;5525
198408;5180
198409;5415
198410;5075
198411;4775
198412;4570
198501;4620
198502;4790
198503;4845
198504;4650
198505;4295
198506;4315
198507;4485
198508;4415
198509;4500
198510;4800
198511;4805
198512;4495
198601;4590
198602;4840
198603;4475
198604;4510
198605;4130
198606;3755
198607;3675
198608;3905
198609;4270
198610;4450
198611;4580
198612;4405
198701;4435
198702;4595
198703;4765
198704;4760
198705;4500
198706;4220
198707;4295
198708;4275
198709;4320
198710;4005
198711;4170
198712;3950
198801;4135
198802;4330
198803;4605
198804;4450
198805;4535
198806;3995
198807;3915
198808;4150
198809;4225
198810;4415
198811;4540
198812;4380
198901;4210
198902;3895
198903;3705
198904;3650
198905;3740
198906;3780
198907;3770
198908;3675
198909;3700
198910;3915
198911;4140
198912;4045
199001;4405
199002;4350
199003;4365
199004;4420
199005;4505
199006;4160
199007;4130
199008;4145
199009;4150
199010;4100
199011;4075
199012;3860
199101;4085
199102;4155
199103;4255
199104;4230
199105;3875
199106;3740
199107;3940
199108;3805
199109;3760
199110;3905
199111;3865
199112;3615
199201;3625
199202;3645
199203;3870
199204;4025
199205;3345
199206;3725
199207;3740
199208;3505
199209;3575
199210;3635
199211;3655
199212;3450
199301;3480
199302;3530
199303;3750
199304;3845
199305;4080
199306;3900
199307;3735
199308;3640
199309;3770
199310;3940
199311;3990
199312;3870
199401;4225
