ee;er
198301;5960
198302;6320
198303;7050
198304;7080
198305;7170
198306;7620
198307;7000
198308;7790
198309;7830
198310;7580
198311;6620
198312;6860
198401;7240
198402;6550
198403;8730
198404;8690
198405;7650
198406;7950
198407;7210
198408;7880
198409;7040
198410;7940
198411;7290
198412;5750
198501;6410
198502;6230
198503;7260
198504;8220
198505;7770
198506;7830
198507;7590
198508;9210
198509;8340
198510;8660
198511;7330
198512;7000
198601;7500
198602;7430
198603;8350
198604;9010
198605;8470
198606;8900
198607;8720
198608;9710
198609;10070
198610;9610
198611;8410
198612;8640
198701;8500
198702;8920
198703;10470
198704;8960
198705;9390
198706;10630
198707;9380
198708;10050
198709;9030
198710;10580
198711;9350
198712;8810
198801;9300
198802;10430
198803;10570
198804;10440
198805;10120
198806;8780
198807;7460
198808;8230
198809;9830
198810;10260
198811;9270
198812;9260
198901;9260
198902;8150
198903;9930
198904;8840
198905;9150
198906;10230
198907;9340
198908;10170
198909;9150
198910;10420
198911;8690
198912;8960
199001;9960
199002;9050
199003;10430
199004;9650
199005;9350
199006;8790
199007;8550
199008;8790
199009;7590
199010;8730
199011;7520
199012;6110
199101;7450
199102;7230
199103;7680
199104;8270
199105;8060
199106;8210
199107;8260
199108;8910
199109;8540
199110;8180
199111;7430
199112;6880
199201;7360
199202;7560
199203;8800
199204;7550
199205;7900
199206;8320
199207;7430
199208;7650
199209;7460
199210;8580
199211;7300
199212;6530
199301;7070
199302;6940
199303;7060
199304;7470
199305;6190
199306;6310
199307;7090
199308;7310
199309;6310
199310;7270
199311;7240
199312;6410
199401;7470
